Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-06-04,78.01980590820312,78.81859097042819,77.6470360985682,78.5208656190316,87560400
2020-06-05,80.24187469482422,80.30238892913404,78.24006648317224,78.26911213372232,137250400
2020-06-08,80.7163314819336,80.75022301034842,79.23010522661079,79.93933051935436,95654400
2020-06-09,83.26519012451172,83.6573213064147,80.3653518160227,80.39682040985336,147712400
2020-06-10,85.40736389160156,85.87453198047866,83.77347966007517,84.21160210008814,166651600
2020-06-11,81.30694580078125,84.97653085136815,81.20528599627451,84.55293109627195,201662400
2020-06-12,82.00889587402344,84.18740853476542,80.90027823694467,83.44187634114364,200146000
2020-06-15,83.02313995361328,83.67427396780367,80.50332533638101,80.66550679987964,138808800
2020-06-16,85.22342681884766,85.4945368687229,83.4418908130573,85.07335265810912,165428800
2020-06-17,85.10482025146484,86.02705683600927,84.98379175074255,85.96654258564811,114406400
2020-06-18,85.13871765136719,85.55505601805591,84.53115217198582,85.06125763268233,96820400
2020-06-19,84.65216064453125,86.30782937031772,83.54595856056092,85.84308414219812,264476000
2020-06-22,86.86699676513672,87.0098095125726,84.99831637895207,85.04430780115948,135445200
2020-06-23,88.72113037109375,90.13716495464834,87.68996543764521,88.10872660527849,212155600
2020-06-24,87.155029296875,89.26818923809188,86.78225950639512,88.35079128217394,192623200
2020-06-25,88.31207275390625,88.35080275936323,86.55232106785238,87.30996064055707,137522400
2020-06-26,85.59860229492188,88.42824869367755,85.4509437109353,88.20797597788908,205256800
2020-06-29,87.57137298583984,87.6657787527797,85.02977472321102,85.50662726415537,130646000
2020-06-30,88.30238342285156,88.58801627360432,87.14051287267962,87.15987418081895,140223200
2020-07-01,88.1353759765625,88.92206127344404,88.08696900587378,88.37985592496987,110737200
2020-07-02,88.1353759765625,89.67486242954287,88.02161627129679,89.04067423366814,114041600
2020-07-06,90.49300384521484,90.9601720457748,89.52961440129422,89.56108299075036,118655600
2020-07-07,90.21221923828125,91.6476154008952,90.10087509241899,90.87061453958542,112424400
2020-07-08,92.31327819824219,92.34474679060094,91.10057024745561,91.1877146099101,117092000
2020-07-09,92.7102279663086,93.25727160992973,91.66454024632048,93.20401878936576,125642800
2020-07-10,92.8724136352539,92.93051232943125,91.69602034280251,92.30600122922262,90257200
2020-07-13,92.44400024414062,96.77924249240976,92.2309888780557,94.17470651308925,191649200
2020-07-14,93.9737777709961,94.16499745387678,90.89481289415856,91.82672629574613,170989200
2020-07-15,94.62007141113281,96.09419752364778,93.42430934647335,95.84487913129125,153198000
2020-07-16,93.4557876586914,94.31024858615012,92.85790656415841,93.49451766571708,110577600
2020-07-17,93.26697540283203,94.06092201052024,92.79496133182224,93.90600938284572,92186800
2020-07-20,95.23249053955078,95.37046481228467,93.01040889370655,93.35413310853578,90318000
2020-07-21,93.91812896728516,96.0966422680727,93.66881051834147,96.02160517867179,103433200
